drinker,bar
"Darin Bridges","Little Branch"
"Darin Bridges","The Counting Room"
"Darin Gould","Bemelmans Bar"
"Darin Gould",PDT
"Darin Lynn","Employees Only"
"Darin Snyder","Clover Club"
"Darin Snyder","Connolly's Bar"
"Darin Snyder","Raines Law Room"
"Dario Duarte",Bua
"Dario Duarte","Donovan's Pub"
"Dario Duarte","Rainbow Room"
"Darlene Black",Apotheke
"Darlene Black","Orange Street"
"Darlene Frost",7B
"Darlene Frost",Donna
"Darlene Frost",PDT
"Darnell Brandt",Mona's
"Darnell Brandt","The Wayland"
"Darnell Campos",Rudy's
"Darnell Campos","The 13th Step"
"Daron Boyle","Copper & Oak"
"Daron Boyle","The Honeywell"
"Daron Edwards","Spring Lounge"
"Daron Franco","Bemelmans Bar"
"Daron Franco","Clover Club"
"Daron Franco",Mona's
"Daron Watson",Julius'
"Darrel Alexander",Julius'
"Darrel Andrews","Dear Irving"
"Darrel Hines",Barcade
"Darrel Hines","Bemelmans Bar"
"Darrell Jarvis","Little Branch"
"Darrell Jarvis","Orange Street"
"Darrell Patton",Primo's
"Darren Boyd","Blue Bar"
"Darren Boyd",Mayahuel
"Darren Boyd","The Wayland"
"Darren Wilkinson","Ty Bar"
"Darrick Baker","Aldo Sohm Wine Bar"
"Darrick Baker",Barcade
"Darrick Baker","KGB Bar"
"Darrin Lutz","Dear Irving"
"Darrin Lutz",Mayahuel
"Darrin Lutz",PDT
"Darron Santos",d.b.a.
"Darron Santos","McSorley's Old Ale House"
"Darron Santos","Ty Bar"
"Darryl Cummings","Blue Bar"
"Darryl Cummings",Mayahuel
"Darryl Ortega",7B
"Darryl Ortega","Pegu Club"
"Daryl Gardner","Connolly's Bar"
"Daryl Gardner",Mona's
"Dave Booker","Old Town Bar"
"Dave Booker","Raines Law Room"
"Dave Walsh","Bar Sixtyfive"
"Dave Walsh","Little Branch"
"Dave Walsh","The Honeywell"
"Davis Myers","169 Bar"
"Davis Myers","KGB Bar"
"Davis Shepard",Dante
"Davis Shepard","Tonic Bar"
"Dawn Aguirre","Dear Irving"
"Dawn Aguirre",Killmeyer's
"Dawn Aguirre","Old Town Bar"
"Dawn Bryan",Killmeyer's
"Dawn Bryan","Townhouse of New York"
"Dawn Hinton","Alewife Queens"
"Dawn Hinton","Sugar East"
"Dawn Hinton","The Long Island Bar"
"Dawson Waller","169 Bar"
"Dawson Waller",Barcade
"Dawson Waller","Bemelmans Bar"
"Deandre Wheeler","Copper & Oak"
"Deandre Wheeler","Keats Bar"
"Deandre Wheeler","Tonic Bar"
"Deangelo Blackwell",BlackTail
"Deangelo Blackwell","Lucy's a.k.a. Blanche's Tavern"
"Deangelo Simon","Old Town Bar"
"Deann Bonilla","Copper & Oak"
"Deann Bonilla","Rose Bar"
"Deanna Michael","Clockwork Bar"
"Deanna Pitts",Killmeyer's
"Deanna Rodgers","e's Bar"
"Deanna Rodgers","Until Tomorrow"
"Deanna Vance","Amor y Amargo"
"Deanna Vance","Dutch Kills"
"Deanna Vance","e's Bar"
"Deanne Morrison","Alewife Queens"
"Deanne Morrison","Clockwork Bar"
"Deanne Morrison",Primo's
"Deanne Nielsen","Blue Bar"
"Debbie Cox","Bar Goto"
"Debbie Fitzpatrick","Bemelmans Bar"
"Debbie Fitzpatrick","Clover Club"
"Debbie Johnson",Killmeyer's
"Debbie Johnson","Spring Lounge"
"Debbie Johnson","The Wayland"
"Debora Bowen","KGB Bar"
"Debora Bowen","Pegu Club"
"Debora Mckee",Attaboy
"Debora Mckee",Primo's
"Debora Mckee","The NoMad Bar"
"Debora Perry","Sugar East"
"Debora Perry","The 13th Step"
"Deborah Curry","Little Branch"
"Deborah Curry","The Up & Up"
"Deborah Curry","Tonic Bar"
"Deborah Tapia","Bemelmans Bar"
"Deborah Tapia","Clover Club"
"Deborah Tapia","Connolly's Bar"
"Debra Kaiser","Pegu Club"
"Dee Shaffer","Aldo Sohm Wine Bar"
"Dee Shaffer","Connolly's Bar"
"Deena Elliott","The Dead Rabbit"
"Deidre Frost",7B
"Deidre Frost","Bemelmans Bar"
"Deidre Frost","Clover Club"
"Deirdre Kennedy",7B
"Deirdre Kennedy",Killmeyer's
"Del George","The Pony Bar"
"Del Mendez",Leyenda
"Del Mendez","Little Branch"
"Del Zhang","The Up & Up"
"Della Fox","Broken Shaker"
"Delmar Anderson","169 Bar"
"Delmar Anderson",7B
"Delmar Anderson","Spring Lounge"
"Delmar Cochran","Clover Club"
"Delmar Cochran",Mayahuel
"Delmar Cochran","Old Town Bar"
"Delmar Simpson",Barcade
"Delmar Simpson",Killmeyer's
"Delmar Simpson","Townhouse of New York"
"Delmer Briggs","Blue Bar"
"Delmer Briggs","Dear Irving"
"Delmer Mckay","ABC Beer Co."
"Delmer Mckay","Bohemian Hall & Beer Garden"
"Delmer Mckay",LENA
"Delmer Patrick",Bua
"Delmer Patrick","Clockwork Bar"
"Delmer Simmons","169 Bar"
"Delmer Simmons","KGB Bar"
"Delores Cline","Connolly's Bar"
"Delores Cline","Townhouse of New York"
"Delores Hatfield",Barcade
"Delores Parsons","Ty Bar"
"Delores Pratt","169 Bar"
"Delores Pratt",Barcade
"Delores Pratt","Dear Irving"
"Delores Shea","Bar Sixtyfive"
"Delores Shea",Dante
"Delores Shea","The Counting Room"
"Delores Shea","The Honeywell"
"Deloris Ellison",PDT
"Deloris Ellison","Raines Law Room"
"Deloris Ellison","Townhouse of New York"
"Deloris James","Bemelmans Bar"
"Deloris James","Blue Bar"
"Deloris James","Old Town Bar"
"Deloris Waters","Old Town Bar"
"Demarcus Mcclure","Dear Irving"
"Demarcus Morse","Dutch Kills"
"Demarcus Morse","Ear Inn"
"Demarcus Morse","Pouring Ribbons"
"Demarcus Sparks","Clover Club"
"Demarcus Sparks","Dear Irving"
"Demetrius Owen","ABC Beer Co."
"Demetrius Owen","Dutch Kills"
"Demetrius Owen",LENA
"Dena Hood","Maison Premiere"
"Dena Hood","the Campbell"
"Dena Werner","Bar Sixtyfive"
"Dena Werner",Dante
"Dena Werner","Orange Street"
"Denis Knox",PDT
"Denis Knox","Pegu Club"
"Denis Knox","Spring Lounge"
"Denis Mosley","The Ship"
"Denise Fletcher","Dutch Kills"
"Denise Fletcher",LENA
"Denise Fletcher","the Campbell"
"Denise Foster","Broken Shaker"
"Denise Mccann","Clover Club"
"Denise Mccann","Old Town Bar"
"Denise Nicholson","KGB Bar"
"Denise Nicholson","Lee's Tavern"
"Dennis Owen","Amor y Amargo"
"Denny Ballard",7B
"Denny Ballard","Connolly's Bar"
"Denny Ballard",Mona's
"Denver French",Mona's
"Deon Archer","169 Bar"
"Deon Archer",Barcade
"Deon Archer","Dear Irving"
"Deon Archer",PDT
"Derrick Colon",Mayahuel
"Derrick Colon","Townhouse of New York"
"Derrick Copeland",Mona's
"Derrick Miller","Rainbow Room"
"Derrick Miller","The Summit Bar"
"Deshawn Ali",Bua
"Deshawn Ali","Clockwork Bar"
"Deshawn Ali","The Central Bar"
"Deshawn Leblanc","Bronx Alehouse"
"Deshawn Leblanc","Ghost Donkey"
"Deshawn Leblanc",Torst
"Deshawn Malone","Broken Shaker"
"Deshawn Malone","Little Branch"
"Deshawn Malone","Tonic Bar"
"Desiree Allen","The Ship"
"Devin Vaughn","Bemelmans Bar"
"Devin Vaughn","Connolly's Bar"
"Devin Vaughn",Mona's
"Devin Vaughn","Raines Law Room"
"Devon Ortiz","Clockwork Bar"
"Devon Ortiz",Nowhere
"Devon Zimmerman","Maison Premiere"
"Devon Zimmerman","The Pony Bar"
"Dewayne Dean",Mace
"Dewey Hines",BlackTail
"Dewey Hines","Dutch Kills"
"Dewitt Costa","Pegu Club"
"Dewitt Quinn",Donna
"Dewitt Quinn","Spring Lounge"
"Dewitt Sloan","Dead Rabbit"
"Dewitt Sloan",Rudy's
"Dexter Sparks",Boxer
"Dexter Sparks",Leyenda
"Dexter Sparks",Subject
"Dexter Sparks","The Up & Up"
"Dexter Stephens",7B
"Dexter Stephens","Connolly's Bar"
"Dexter Stephens",Killmeyer's
"Dexter Stephens",PDT
"Dexter Townsend","Bar Goto"
"Dexter Townsend",Boxer
"Dexter Townsend","Slowly Shirley"
"Dexter Valentine",Killmeyer's
"Dexter Valentine",Mona's
"Diana Butler","Dear Irving"
"Diana Butler","Old Town Bar"
"Diana Butler","Raines Law Room"
"Diana Orozco","169 Bar"
"Diana Orozco","Pegu Club"
"Diana Orozco","Raines Law Room"
"Diana Pham","KGB Bar"
"Diann Barajas","169 Bar"
"Diann Barajas","Bemelmans Bar"
"Diann Barajas",Killmeyer's
"Diann Barajas","Townhouse of New York"
"Diann Castaneda","Connolly's Bar"
"Diann Castaneda",PDT
"Diann Castaneda","Spring Lounge"
"Diann Green",7B
"Diann Green",Donna
"Diann Keller","Blind Tiger Ale House"
"Diann Keller",Boxer
"Diann Molina","Aldo Sohm Wine Bar"
"Diann Molina",Mona's
"Diann Molina","Pegu Club"
"Dianna Coleman","Copper & Oak"
"Dianna Coleman","Slowly Shirley"
"Dianna David","Pouring Ribbons"
"Dianne Holder",Rudy's
"Dianne Holder","The 13th Step"
"Dianne Holder","The Central Bar"
"Dianne Holder","The Long Island Bar"
"Dianne Mays","Dead Rabbit"
"Dianne Mays","The Central Bar"
"Dianne Vance","Blue Bar"
"Dianne Vance","KGB Bar"
"Dianne Vance","Lee's Tavern"
"Dianne Vance","Raines Law Room"
"Diego Lucas","Bar Sixtyfive"
"Diego Lucas","Broken Shaker"
"Diego Lucas","Keats Bar"
"Dina Contreras","KGB Bar"
"Dina Contreras","Pegu Club"
"Dina Mcmillan","Employees Only"
"Dina Mcmillan","Orange Street"
"Dina Mora","Aldo Sohm Wine Bar"
"Dina Mora",Killmeyer's
"Dino Elliott",BlackTail
"Dino Elliott",LENA
"Dino Elliott","Please Don't Tell"
"Dion Bonilla","Connolly's Bar"
"Dion Webb",7B
"Dion Webb","Bemelmans Bar"
"Dion Webb",Killmeyer's
"Dionne Good","KGB Bar"
"Dionne Good",Mona's
"Dionne Hernandez",Barcade
"Dionne Hernandez",Mayahuel
"Dionne Lucero","KGB Bar"
"Dionne Lucero","Raines Law Room"
"Dionne Page","Beauty Bar"
"Dirk Costa","Death & Company"
"Dirk Costa","Phoenix Bar"
"Dirk Costa","Until Tomorrow"
"Dirk Costa","Zinc Bar"
"Dirk Delacruz",7B
"Dirk Delacruz",Mayahuel
"Dirk Delacruz",Mona's
"Dirk Delacruz","Raines Law Room"
"Dixie Anthony",Mayahuel
"Dixie Anthony",Mona's
"Dixie Anthony","The Wayland"
"Dixie Blackburn","Dear Irving"
"Dixie Blackburn","Pegu Club"
"Dixie Turner",PDT
"Diya Brandt",BlackTail
"Diya Brandt","the Campbell"
"Dollie Hudson","Ear Inn"
"Dollie Hudson","Maison Premiere"
"Dollie Hudson","The Dead Rabbit"
"Dollie Rose","Clover Club"
"Dollie Rose",Killmeyer's
"Dollie Sosa","McSorley's Old Ale House"
"Dolly Estes","Dead Rabbit"
"Dolly Estes","Donovan's Pub"
"Dolly Estes","The NoMad Bar"
"Dolly Estes","Ty Bar"
"Dolly Lawson","Townhouse of New York"
"Dolly Thomas",7B
"Dolly Thomas","Old Town Bar"
"Dolly Thomas","Spring Lounge"
"Dolores Glenn","Dear Irving"
"Dolores Glenn",PDT
"Dolores Rivera","Dive Bar"
"Dolores Rivera","Phoenix Bar"
"Dolores Rivera","Please Don't Tell"
"Domas Penn","169 Bar"
"Domas Penn",Donna
"Domas Penn",Mona's
"Domas Penn","Townhouse of New York"
"Domenic Huang","The 13th Step"
"Domingo Forbes",Bua
"Domingo Forbes","Holiday Cocktail Lounge"
"Domingo Mcbride",Dante
"Domingo Mcbride","The Honeywell"
"Dominic Beck","Angel's Share"
"Dominic Beck",BlackTail
"Dominic Parsons","Bar Nine"
"Dominic Parsons","Copper & Oak"
"Dominic Parsons","Rose Bar"
"Dominick Houston",d.b.a.
"Dominick Houston","Sugar East"
"Dominique Foster","Aldo Sohm Wine Bar"
"Dona Church","169 Bar"
"Dona Church",Barcade
"Dona Clayton","Beauty Bar"
"Dona Clayton","Holiday Cocktail Lounge"
"Dona Clayton",Primo's
"Dong Dean","Blue Bar"
"Dong Dean","Dear Irving"
"Dong Dean",Killmeyer's
"Dong Dean",PDT
"Dong Joseph",Torst
"Dong Osborne","Broken Shaker"
"Dong Osborne",Nitecap
"Donn Bolton",Barcade
"Donn Bolton",Mona's
"Donn Bolton","The Wayland"
"Donn Cross",Apotheke
"Donn Cross","Bar Nine"
"Donn Cross",Mace
"Donn Cross","Rose Bar"
"Donn Robinson",Julius'
"Donn Robinson","Keats Bar"
"Donn Williamson",Nowhere
"Donn Williamson","The Ginger Man"
"Donn Williamson","The Summit Bar"
"Donna Weaver","Beauty Bar"
"Donna Weaver",Nowhere
"Donna Weaver",Primo's
"Donna Weaver","The Ginger Man"
"Donnell Bates","Blue Bar"
"Donnell Bates","Lee's Tavern"
"Donnell Bates","Spring Lounge"
"Donnell Huff","Until Tomorrow"
"Donnie Gillespie",Nitecap
"Donnie Greene","Pegu Club"
"Donny Harvey","Clover Club"
"Donny Harvey",Killmeyer's
"Donny Harvey","Spring Lounge"
"Donny Patterson","Blue Bar"
"Donny Patterson","Dear Irving"
"Donny Soto",7B
"Donny Soto",Donna
"Donny Soto","Old Town Bar"
"Donte Perkins",Barcade
"Donte Perkins","Blue Bar"
"Donte Perkins",Killmeyer's
"Dora Glass","Employees Only"
"Dora Miranda","169 Bar"
"Dora Miranda",Killmeyer's
"Dora Miranda","Lee's Tavern"
"Dora Miranda","Raines Law Room"
"Doreen White","Alewife Queens"
"Doreen White","Dead Rabbit"
"Doreen White","The Long Island Bar"
"Doris Adkins","Blue Bar"
"Doris Brandt",Mona's
"Doris Cherry","Aldo Sohm Wine Bar"
"Doris Cherry","KGB Bar"
"Doris Cherry",PDT
"Doris Stein",7B
"Doris Stein","Blue Bar"
"Doris Stein",PDT
"Dorothea Arnold","Blue Bar"
"Dorothea Arnold","Connolly's Bar"
"Dorothea Keith",Mace
"Dorsey Frank","Bar Nine"
"Dorsey Frank","Copper & Oak"
"Dorthy Macias","Bohemian Hall & Beer Garden"
"Dorthy Macias","Maison Premiere"
"Dorthy Macias","The Iron Horse Nyc"
"Doug Brown",Mayahuel
"Doug Hudson","The Pony Bar"
"Douglas Logan","Copper & Oak"
"Douglas Logan","Employees Only"
"Douglas Logan","The Counting Room"
"Douglas Logan","The Honeywell"
"Douglass Kaufman",Bua
"Douglass Kaufman","The Central Bar"
"Douglass Kaufman","The Ginger Man"
"Doyle Mccullough","Pouring Ribbons"
"Doyle Mccullough","the Campbell"
"Doyle Mccullough","The Iron Horse Nyc"
"Doyle Moody","King Cole Bar"
"Doyle Moody","The Pool Lounge"
"Drew Boyle",Killmeyer's
"Drew Boyle","Pegu Club"
"Drew Boyle","Townhouse of New York"
"Drew Cowan","Amor y Amargo"
"Drew Cowan","e's Bar"
"Drew Cowan","Ghost Donkey"
"Drew Hoffman","Connolly's Bar"
"Drew Preston","Alewife Queens"
"Drew Preston","The Long Island Bar"
"Drew Preston","The Ship"
"Duane Beard","Bemelmans Bar"
"Duane Chung","The Long Island Bar"
"Duane Chung","Ty Bar"
"Duane Vaughan","Pegu Club"
"Dudley Blackwell","Holiday Cocktail Lounge"
"Dudley Gibson",Barcade
"Dudley Gibson","Pegu Club"
"Duncan Cooke","Clover Club"
"Duncan Cooke","Dear Irving"
"Duncan Cooke","Lee's Tavern"
"Duncan Cooke",PDT
"Duncan Floyd","Donovan's Pub"
"Duncan Floyd",Rudy's
"Duncan Floyd","Ty Bar"
"Duncan Kelly","Connolly's Bar"
"Dustin Avery","Raines Law Room"
"Dustin Irwin","Blue Bar"
"Dustin Irwin",Mayahuel
"Dustin Irwin",Mona's
"Dusty Davidson","Employees Only"
"Dusty Davidson",Julius'
"Dusty Mcdonald","e's Bar"
"Dwain Luna",Donna
"Dwight Garner",Donna
"Dylan Benitez","Employees Only"
"Dylan Benitez","Slowly Shirley"
"Dylon Morgan","ABC Beer Co."
"Dylon Morgan","Phoenix Bar"
"Earl Bond","Bar Nine"
"Earl Bond",Julius'
"Earl Goodman","Until Tomorrow"
"Earl West","Gallow Green"
"Earl West",Leyenda
"Earle Steele","Death & Company"
"Earle Steele","Dive Bar"
"Earle Steele","The Pony Bar"
"Earlene Day",7B
"Earlene Day",Killmeyer's
"Earlene Day","Pegu Club"
"Earlene Pitts",Barcade
"Earlene Pitts","Clover Club"
"Earlene Stark","Lee's Tavern"
"Earlene Stark","Old Town Bar"
"Earlene Stark","Raines Law Room"
"Earlene Wilson","The Central Bar"
"Earlene Wilson","The Ginger Man"
"Earlene Wilson","The NoMad Bar"
"Earline Browning","Clockwork Bar"
"Earline Browning","The 13th Step"
"Earline Villa",Killmeyer's
"Ed Compton","Dear Irving"
"Ed Compton","Townhouse of New York"
"Eddie Davenport","Copper & Oak"
"Eddie Davenport","Keats Bar"
"Eddie Davenport","The Honeywell"
"Eddie Stephens","169 Bar"
"Eddie Stephens",Killmeyer's
"Eddie Stephens",PDT
"Eddie Stephens","Spring Lounge"
"Eddison Boone","169 Bar"
"Eddison Boone","Blue Bar"
"Eden Levine",Mace
"Edgar Simmons",Barcade
"Edgar Simmons","Dear Irving"
"Edgar Simmons","Old Town Bar"
"Edgar Stanton","Blue Bar"
"Edgardo Hodges","Raines Law Room"
"Edgardo Hodges","Spring Lounge"
"Edgardo Madden",Boxer
"Edie Mills","Bar Goto"
"Edie Mills","Copper & Oak"
"Edie Mills",Nitecap
"Edie Mills","Orange Street"
"Edison Clarke","169 Bar"
"Edison Clarke",Killmeyer's
"Edison Mcgee","Alewife Queens"
"Edmund Mathews","Bemelmans Bar"
"Edmund Mathews","Connolly's Bar"
"Edmund Mathews",Killmeyer's
"Edmund Zuniga","KGB Bar"
"Edmund Zuniga","Lee's Tavern"
"Edmund Zuniga",Mayahuel
"Edmund Zuniga",PDT
"Edmundo Mills","Blind Tiger Ale House"
"Edmundo Mills","Keats Bar"
"Edmundo Mills",Nitecap
"Edmundo Mills","Tonic Bar"
"Edna Escobar","Pegu Club"
"Edna Escobar","Townhouse of New York"
"Edna Swanson",7B
"Edna Swanson","KGB Bar"
"Edna Swanson","Raines Law Room"
"Eduardo Barton","Jimmy's corner"
"Eduardo Barton","Sugar East"
"Eduardo Burnett","Blue Bar"
"Eduardo Burnett","Dear Irving"
"Eduardo Burnett",Killmeyer's
"Eduardo Burnett","The Wayland"
"Eduardo Ford","Rainbow Room"
"Eduardo Ford","The NoMad Bar"
"Eduardo Ford","The Summit Bar"
"Eduardo Kim",7B
"Eduardo Kim",Barcade
"Eduardo Kim","Bemelmans Bar"
"Eduardo Kim",PDT
"Eduardo Pearson","ABC Beer Co."
"Eduardo Pearson",BlackTail
"Eduardo Pearson","Until Tomorrow"
"Eduardo Shea","The Ginger Man"
"Eduardo Shea","The Ship"
"Edward Underwood","KGB Bar"
"Edward Underwood",Mayahuel
"Edwardo Chang","Amor y Amargo"
"Edwardo Chang",BlackTail
"Edwardo Chang","Dive Bar"
"Edwardo Chang","Pouring Ribbons"
"Edwin Bell","The Long Island Bar"
"Edwin Cordova",Mace
"Edwin Cordova",Nitecap
"Edwin Cordova","Orange Street"
"Edwina Bradley",Dante
"Edwina Bradley",Nitecap
"Edwina Fisher","The Central Bar"
"Edwina Fisher","Ty Bar"
"Edwina Powers",Donna
"Edwina Stanley",7B
"Edwina Stanley","Blue Bar"
"Edwina Stanley","Old Town Bar"
"Edwina Stanley","Pegu Club"
"Effie Ellis","Lucy's a.k.a. Blanche's Tavern"
"Effie Ellis","the Campbell"
"Efrain Garrison","Dead Rabbit"
"Efrain Garrison",Rudy's
"Efrain Pineda","Keats Bar"
"Efren Lam","Connolly's Bar"
"Efren Lam","Townhouse of New York"
"Eileen Lane","Bemelmans Bar"
"Eileen Lane",Killmeyer's
"Eileen Lane",Mayahuel
"Eira Rudd","Slowly Shirley"
"Eira Rudd","Tonic Bar"
"Ela Macgregor","Sugar East"
"Elaine Cain",Attaboy
"Elaine Cain",Bua
"Elaine Cain","Clockwork Bar"
"Elaine Cain","Holiday Cocktail Lounge"
"Elaine Orr",Mayahuel
"Elaine Orr","The Wayland"
"Elaine Roth","Connolly's Bar"
"Elaine Roth","KGB Bar"
"Elaine Roth","Townhouse of New York"
"Elba Cooper",d.b.a.
"Elba Cooper","The 13th Step"
"Elba Serrano","McSorley's Old Ale House"
"Elba Serrano","The 13th Step"
"Elbert Morrison","Phoenix Bar"
"Elbert Morrison","The Aviary NYC"
"Elbert Richard","Bemelmans Bar"
"Elbert Richard","Pegu Club"
"Elbert Richard","Raines Law Room"
"Elden Harmon",Killmeyer's
"Elden Harmon","Spring Lounge"
"Eldon Cox","Connolly's Bar"
"Eldon Cox",Mona's
"Eldon Cox","Pegu Club"
"Eldon Cox","The Wayland"
"Eldon Cunningham",Mayahuel
"Eldon Cunningham","Raines Law Room"
"Eldridge Osborne","Bar Sixtyfive"
"Eldridge Osborne","Blind Tiger Ale House"
"Eldridge Osborne","Broken Shaker"
"Eldridge Osborne","Keats Bar"
"Eldridge Serrano","The Central Bar"
"Eldridge Serrano","The Ship"
"Eleanor Blevins","Donovan's Pub"
"Eleanor Blevins","McSorley's Old Ale House"
"Eleanor Blevins",Nowhere
"Eleanor Riggs",7B
"Elen Kay",Mayahuel
"Elen Kay","Raines Law Room"
"Elena Bauer","Blind Tiger Ale House"
"Elena Bauer","Broken Shaker"
"Elena Bauer","Keats Bar"
"Elena Bauer",Leyenda
"Elena Clements","Broken Shaker"
"Elena Clements","Slowly Shirley"
"Elena Norris",Donna
"Elena Norris","Old Town Bar"
"Elena Norris","The Wayland"
"Eli Delgado","KGB Bar"
"Eli Delgado",Killmeyer's
"Eli Delgado",PDT
"Elias Kline",Mayahuel
"Elias Kline",Mona's
"Elias Kline","Raines Law Room"
"Elias Mccarty","Bohemian Hall & Beer Garden"
"Elijah Cline","Spring Lounge"
"Elijah Higgins",Dante
"Elijah Higgins",Nitecap
"Elijah Higgins","The Honeywell"
"Elijah Higgins","Tonic Bar"
"Elinor Shepherd","Holiday Cocktail Lounge"
"Elinor Shepherd","The Ship"
"Elinor Walsh","Dear Irving"
"Elinor Walsh",Mayahuel
"Elinor Walsh","Townhouse of New York"
"Eliot Willis",7B
"Eliot Willis","Dear Irving"
"Eliot Willis","Townhouse of New York"
"Elisa Diaz","Bemelmans Bar"
"Elisa Nunez",Dante
"Elisa Wang","Amor y Amargo"
"Elisa Wang",Torst
"Elise Wilkinson","Clockwork Bar"
"Elise Wilkinson","McSorley's Old Ale House"
"Eliseo White","Bemelmans Bar"
"Eliseo White","Blue Bar"
"Elisha Short",Barcade
"Elissa Crane",Attaboy
"Elissa Crane",Rudy's
"Eliza Jenkins",Attaboy
"Eliza Jenkins",d.b.a.
"Eliza Jenkins","The Long Island Bar"
"Eliza Kaiser","Pegu Club"
"Eliza Kaiser","The Wayland"
"Eliza Kaiser","Townhouse of New York"
"Eliza Yang","KGB Bar"
"Eliza Yang","Townhouse of New York"
"Elizabeth Roth","Beauty Bar"
"Elizabeth Roth","The Ginger Man"
"Ella Montoya",Boxer
"Ella Montoya","Little Branch"
"Ella Montoya","Orange Street"
"Ellen James","Clover Club"
"Ellen James",Killmeyer's
"Ellen James","The Wayland"
"Ellie Gibbs","e's Bar"
"Ellie Gibbs","Ear Inn"
"Ellie Gibbs",Torst
"Elliot Espinoza",7B
"Elliot Espinoza","Blue Bar"
"Elliot Espinoza","KGB Bar"
"Elliot Smith","Bar Nine"
"Elliot Smith","Little Branch"
"Ellis Fry",Rudy's
"Ellis Fry","The NoMad Bar"
"Ellis Simpson",Mayahuel
"Ellis Simpson","Spring Lounge"
"Elma Bradshaw","Bar Sixtyfive"
"Elma Bradshaw","Blind Tiger Ale House"
"Elma Bradshaw","Broken Shaker"
"Elma Bradshaw","Little Branch"
"Elma Juarez",7B
"Elma Juarez","The Wayland"
"Elma Lane","Employees Only"
"Elma Lane",Subject
"Elma Obrien","The Ship"
"Elma Ramsey","169 Bar"
"Elma Ramsey","Aldo Sohm Wine Bar"
"Elmer Hamilton","Broken Shaker"
"Elmer Hamilton",Leyenda
"Elnora Cohen","Blue Bar"
"Elnora Frank","King Cole Bar"
"Eloise Sherman","Raines Law Room"
"Elroy Dalton","Old Town Bar"
"Elroy Dalton","Raines Law Room"
"Elroy Galloway","169 Bar"
"Elroy Galloway","Clover Club"
"Elroy Galloway","Connolly's Bar"
"Elsa Vaughn","Clockwork Bar"
"Elsa Vaughn","The Long Island Bar"
"Elton Hawkins",Julius'
"Elton Hawkins","Keats Bar"
"Elton Hawkins","Slowly Shirley"
"Elton Tanner","Beauty Bar"
"Elton Tanner",Primo's
"Elton Tanner","The Ship"
"Elton Tanner","Ty Bar"
"Elva Nielsen","Bemelmans Bar"
"Elva Nielsen","Dear Irving"
"Elva Nielsen",Killmeyer's
"Elva Nielsen","Pegu Club"
"Elvia Dalton",d.b.a.
"Elvia Montes",7B
"Elvia Reynolds","Townhouse of New York"
"Elvia Roman","Broken Shaker"
"Elvia Roman","Little Branch"
"Elvia Roman","Tonic Bar"
"Elvin Dillon","e's Bar"
"Elvira Bridges","Tonic Bar"
"Elvira Hensley","ABC Beer Co."
"Elvira Hensley","Dive Bar"
"Elvira Hensley","King Cole Bar"
"Elvis Friedman","Aldo Sohm Wine Bar"
"Elwood Bass","The 13th Step"
"Elwood Bautista","Employees Only"
"Elwood Bautista","Rose Bar"
"Elwood Bautista","Slowly Shirley"
"Emerson Long","169 Bar"
"Emerson Long","Bemelmans Bar"
"Emerson Long","KGB Bar"
"Emerson Long","Raines Law Room"
"Emerson Preston","Bemelmans Bar"
"Emerson Preston","Dear Irving"
"Emerson Preston",PDT
"Emerson Summers",Killmeyer's
"Emerson Summers","Raines Law Room"
"Emerson Summers","The Wayland"
"Emery Rowland","Bar Goto"
"Emil Lang","Bemelmans Bar"
"Emil Lang","Old Town Bar"
"Emil Lang",PDT
"Emil Lang","Raines Law Room"
"Emilio Calderon","169 Bar"
"Emilio Calderon","KGB Bar"
"Emily Benitez","Dead Rabbit"
"Emily Berg","Bronx Alehouse"
"Emily Berg","Lucy's a.k.a. Blanche's Tavern"
"Emily Chan","Ear Inn"
"Emily Chan","Please Don't Tell"
"Emily Chan","The Pony Bar"
"Emily Chan","Until Tomorrow"
"Emily Mccarthy","Aldo Sohm Wine Bar"
"Emily Mccarthy","Bemelmans Bar"
"Emily Mccarthy","Blue Bar"
"Emily Wilkerson",Mayahuel
"Emily Wilkerson","The Wayland"
"Emma Buchanan","Lee's Tavern"
"Emma Buchanan","Raines Law Room"
"Emma Buchanan","Spring Lounge"
"Emmanuel Bauer","Lucy's a.k.a. Blanche's Tavern"
"Emmanuel Bauer","The Pool Lounge"
"Emmanuel Bauer","Until Tomorrow"
"Emmanuel Oliver","Aldo Sohm Wine Bar"
"Emmanuel Oliver",Mayahuel
"Emmanuel Oliver","Old Town Bar"
"Emmett Rivers","Bemelmans Bar"
"Emmett Rivers","Dear Irving"
"Emmett Trevino","Copper & Oak"
"Emory Ballard","Ear Inn"
"Emory Ballard","Grand Banks"
"Emory Ballard","Please Don't Tell"
"Emory Ballard","Zinc Bar"
"Emory Bradford",Barcade
"Emory Bradford","Raines Law Room"
"Enid Robertson","Beauty Bar"
"Enid Robertson",Bua
"Enid Robertson","Holiday Cocktail Lounge"
"Enid Robertson","Jimmy's corner"
"Enrique Crosby",Barcade
"Enrique Crosby",Killmeyer's
"Enrique Crosby","Pegu Club"
"Enrique Sawyer","Connolly's Bar"
"Enrique Sawyer","Dear Irving"
"Erasmo Arias","169 Bar"
"Erasmo Arias","Connolly's Bar"
"Erasmo Arias","Dear Irving"
"Erasmo Arias","The Wayland"
